hours,price
1,16791
2,16403
3,15678
4,15678
5,16658
6,17955
7,19906
8,20519
9,20805
10,20601
11,20396
12,20090
13,19896
14,19804
15,19804
16,19988
17,20172
18,20315
19,20243
20,20121
21,19967
22,19681
23,19120
24,18364
1,18166
2,17581
3,16944
4,16493
5,17211
6,18227
7,19828
8,20300
9,20978
10,20701
11,20475
12,20146
13,19962
14,19880
15,19869
16,19972
17,20218
18,20290
19,20105
20,19962
21,19839
22,19623
23,19079
24,18330
1,16631
2,16416
3,16365
4,16447
5,16896
6,17274
7,18325
8,18836
9,19009
10,18836
11,18662
12,18325
13,18070
14,17876
15,17743
16,17703
17,17866
18,17978
19,17794
20,17427
21,16845
22,16610
23,16069
24,15273
1,14918
2,14807
3,14725
4,14908
5,15344
6,16105
7,16713
8,17261
9,17423
10,17301
11,17200
12,17119
13,17058
14,17038
15,17068
16,17109
17,17200
18,17291
19,17261
20,17200
21,17088
22,17088
23,16906
24,16754
1,16312
2,16262
3,16221
4,16191
5,16241
6,16414
7,16647
8,17124
9,17124
10,17104
11,16992
12,16850
13,16678
14,16627
15,16566
16,16485
17,16556
18,16586
19,16383
20,16251
21,15866
22,15643
23,15136
24,14882
1,14067
2,13874
3,13600
4,13407
5,13316
6,13265
7,13346
8,13519
9,13895
10,14148
11,14240
12,14280
13,14199
14,14138
15,14179
16,14280
17,14616
18,14859
19,14707
20,14362
21,13813
22,13569
23,13184
24,12341
1,12960
2,12555
3,12130
4,9945
5,9803
6,9854
7,9914
8,10572
9,10997
10,11644
11,11928
12,12009
13,12009
14,11948
15,11988
16,12069
17,12171
18,12221
19,12130
20,12029
21,11746
22,11513
23,10876
24,10319
