hours,price
1,2170
2,2073
3,2031
4,2020
5,1988
6,2009
7,2116
8,2138
9,2159
10,2266
11,2298
12,1828
13,2212
14,1614
15,1069
16,1421
17,1753
18,2244
19,2234
20,2234
21,2255
22,2287
23,2255
24,2138
1,1699
2,1689
3,1678
4,1689
5,1667
6,1614
7,1625
8,1763
9,1828
10,1667
11,1646
12,1614
13,1603
14,1603
15,1592
16,1582
17,1571
18,1560
19,1571
20,1592
21,1603
22,1603
23,1592
24,1571
1,1429
2,1269
3,1162
4,1173
5,1237
6,1439
7,1546
8,1749
9,1717
10,1706
11,1685
12,1653
13,1621
14,1599
15,1589
16,1589
17,1578
18,1567
19,1557
20,1567
21,1557
22,1567
23,1557
24,1535
1,1555
2,1544
3,1534
4,1534
5,1534
6,1555
7,1576
8,1906
9,2087
10,2119
11,2087
12,2045
13,2024
14,1970
15,1779
16,1736
17,1693
18,1587
19,1576
20,1576
21,1566
22,1566
23,1555
24,1534
1,1528
2,1507
3,1485
4,1464
5,1485
6,1507
7,1581
8,1751
9,2016
10,1899
11,1846
12,1814
13,1814
14,1814
15,1814
16,1560
17,1560
18,1560
19,1570
20,1560
21,1549
22,1549
23,1549
24,1538
1,1605
2,1563
3,1447
4,1046
5,1489
6,1426
7,1394
8,1552
9,1574
10,1690
11,1764
12,1563
13,1056
14,729
15,655
16,1035
17,1510
18,1574
19,1743
20,1743
21,1721
22,1721
23,1732
24,1679
1,1585
2,1554
3,1543
4,1533
5,1522
6,1522
7,1522
8,1533
9,1564
10,1890
11,1963
12,1974
13,1963
14,1953
15,1942
16,1953
17,1953
18,1963
19,1984
20,1995
21,1974
22,1953
23,1953
24,1659
1,1585
2,1564
3,1554
4,1554
5,1554
6,1575
7,1869
8,2026
9,2268
10,2194
11,2215
12,2152
13,2016
14,1974
15,1942
16,1900
17,1869
18,1680
19,1942
20,1942
21,1900
22,1890
23,1879
24,1795
1,1570
2,1560
3,1549
4,1539
5,1549
6,1560
7,1822
8,1926
9,2052
10,2041
11,2010
12,1979
13,1958
14,1947
15,1905
16,1811
17,1780
18,1727
19,1895
20,1853
21,1822
22,1780
23,1738
24,1665
1,1654
2,1612
3,1581
4,1581
5,1570
6,1602
7,1939
8,2055
9,2139
10,2129
11,2086
12,2055
13,2055
14,2055
15,2065
16,2129
17,2097
18,2055
19,2150
20,2129
21,2076
22,2023
23,1949
24,1728
1,1578
2,1536
3,1505
4,1494
5,1494
6,1557
7,1873
8,1863
9,2084
10,2168
11,2147
12,2105
13,2084
14,2073
15,2031
16,2010
17,1999
18,2157
19,2084
20,2063
21,2010
22,1873
23,1768
24,1536
1,1014
2,886
3,758
4,715
5,769
6,1495
7,1730
8,1665
9,1762
10,1794
11,1751
12,1697
13,1655
14,1644
15,1623
16,1591
17,1580
18,1569
19,1569
20,1601
21,1580
22,1591
23,1580
24,1516
1,1517
2,1311
3,1214
4,1116
5,1106
6,1257
7,1528
8,1290
9,1322
10,1517
11,1539
12,1539
13,1539
14,1528
15,1517
16,1528
17,1517
18,1528
19,1528
20,1528
21,1507
22,1387
23,1322
24,1236
1,1352
2,1077
3,868
4,549
5,494
6,879
7,1341
8,1461
9,1264
10,1439
11,1538
12,1549
13,1549
14,1549
15,1549
16,1560
17,1516
18,1538
19,1549
20,1549
21,1560
22,1560
23,1582
24,1571
1,1604
2,1593
3,1593
4,1593
5,1593
6,1604
7,1626
8,1670
9,1780
10,1791
11,1670
12,1648
13,1615
14,1615
15,1604
16,1593
17,1593
18,1582
19,1571
20,1571
21,1582
22,1582
23,1582
24,1571
1,1571
2,1571
3,1560
4,1560
5,1560
6,1560
7,1582
8,1626
9,1659
10,1691
11,1691
12,1680
13,1702
14,1670
15,1670
16,1604
17,1593
18,1582
19,1571
20,1571
21,1560
22,1571
23,1582
24,1571
1,1583
2,1561
3,1550
4,1550
5,1550
6,1561
7,1594
8,2013
9,2110
10,2089
11,2100
12,2121
13,2196
14,2143
15,2143
16,2067
17,1863
18,1787
19,1647
20,1626
21,1615
22,1604
23,1604
24,1583
1,1567
2,1545
3,1534
4,1524
5,1524
6,1534
7,1588
8,1781
9,1770
10,1781
11,1760
12,1706
13,1717
14,1717
15,1706
16,1674
17,1610
18,1588
19,1577
20,1577
21,1577
22,1556
23,1556
24,1524
1,1512
2,1480
3,1448
4,1427
5,1385
6,1448
7,1534
8,1576
9,1672
10,1715
11,1693
12,1661
13,1608
14,1598
15,1598
16,1566
17,1555
18,1544
19,1544
20,1544
21,1534
22,1523
23,1502
24,1480
1,1503
2,1471
3,1439
4,1342
5,1256
6,1396
7,1396
8,1450
9,1503
10,1536
11,1557
12,1557
13,1557
14,1557
15,1546
16,1546
17,1546
18,1557
19,1557
20,1546
21,1536
22,1525
23,1525
24,1514
1,1454
2,1400
3,1292
4,1260
5,1228
6,1238
7,1238
8,1281
9,1335
10,1464
11,1518
12,1508
13,1508
14,1486
15,1475
16,1464
17,1464
18,1464
19,1486
20,1508
21,1508
22,1475
23,1497
24,1486
1,1432
2,1357
3,1324
4,1324
5,1357
6,1464
7,1529
8,1572
9,1594
10,1594
11,1594
12,1594
13,1615
14,1604
15,1583
16,1561
17,1551
18,1540
19,1529
20,1551
21,1551
22,1551
23,1529
24,1508
1,1497
2,1443
3,1411
4,1390
5,1368
6,1454
7,1562
8,1583
9,1637
10,1637
11,1637
12,1627
13,1616
14,1616
15,1616
16,1583
17,1583
18,1562
19,1551
20,1562
21,1573
22,1573
23,1562
24,1519
1,1515
2,1397
3,1365
4,1343
5,1343
6,1397
7,1569
8,1676
9,1708
10,1708
11,1708
12,1708
13,1708
14,1708
15,1698
16,1665
17,1665
18,1665
19,1633
20,1644
21,1644
22,1633
23,1612
24,1569
1,1491
2,1372
3,1307
4,1285
5,1285
6,1383
7,1577
8,1631
9,1653
10,1663
11,1685
12,1674
13,1663
14,1663
15,1642
16,1620
17,1620
18,1599
19,1577
20,1599
21,1577
22,1588
23,1577
24,1534
1,1575
2,1553
3,1542
4,1531
5,1509
6,1531
7,1585
8,1618
9,1618
10,1629
11,1629
12,1618
13,1607
14,1607
15,1596
16,1575
17,1575
18,1575
19,1564
20,1564
21,1553
22,1553
23,1553
24,1531
1,1053
2,923
3,749
4,630
5,565
6,565
7,651
8,868
9,1064
10,1140
11,1259
12,1281
13,1259
14,1238
15,1216
16,1216
17,1096
18,1183
19,1172
20,1096
21,1042
22,1118
23,1172
24,1053
1,1078
2,1002
3,762
4,686
5,610
6,577
7,599
8,631
9,719
10,1034
11,1198
12,1263
13,1274
14,1198
15,305
16,588
17,1023
18,1285
19,1306
20,1306
21,1306
22,1285
23,1285
24,1176
1,1132
2,1089
3,947
4,925
5,936
6,958
7,1209
8,1306
9,1339
10,1383
11,1394
12,1296
13,1306
14,1285
15,1274
16,1241
17,1230
18,1198
19,1045
20,1002
21,1056
22,1241
23,1241
24,1263
