price_change_quantile,quantiles
-2185,0
-1134.04,0.01
-808.9200000000001,0.02
-756.8000000000001,0.03
-733.64,0.04
-637,0.05
-587.08,0.06
-568.98,0.07
-554.76,0.08
-544.3,0.09
-520.5999999999999,0.1
-448.65999999999997,0.11
-426.36,0.12
-395.14,0.13
-385,0.14
-368.80000000000007,0.15
-349.4,0.16
-335.23999999999995,0.17
-308.76,0.18
-284.38,0.19
-276.4,0.2
-257.65999999999997,0.21
-248.79999999999995,0.22
-234.64000000000001,0.23
-227.12000000000003,0.24
-219.5,0.25
-213.39999999999995,0.26
-204.18,0.27
-200.59999999999997,0.28
-194,0.29
-193.20000000000002,0.3
-189.32,0.31
-184,0.32
-182.44,0.33
-173.56,0.34
-170.19999999999985,0.35000000000000003
-152.48000000000002,0.36
-148.21999999999997,0.37
-142,0.38
-135.33999999999992,0.39
-128.39999999999995,0.4
-122,0.41000000000000003
-114.80000000000001,0.42
-111.62,0.43
-101,0.44
-94.69999999999997,0.45
-91,0.46
-82,0.47000000000000003
-81.32000000000001,0.48
-81,0.49
-72,0.5
-61,0.51
-61,0.52
-61,0.53
-51,0.54
-50.69999999999999,0.55
-41.35999999999993,0.56
-33.799999999999955,0.5700000000000001
-27.20000000000013,0.58
-20,0.59
-4.4000000000000625,0.6
0,0.61
0,0.62
17.39999999999995,0.63
32.40000000000009,0.64
40,0.65
41,0.66
50,0.67
50.88000000000001,0.68
65.94000000000007,0.6900000000000001
73.80000000000015,0.7000000000000001
81,0.71
81.52,0.72
91,0.73
91.84,0.74
101.5,0.75
104.43999999999997,0.76
137.4199999999998,0.77
162.48000000000002,0.78
173,0.79
173,0.8
183.46,0.81
189.88000000000022,0.8200000000000001
240.8,0.8300000000000001
249.07999999999998,0.84
284.2,0.85
323.99999999999955,0.86
376.84,0.87
425.8800000000001,0.88
445.6200000000001,0.89
474,0.9
513.22,0.91
591.1999999999999,0.92
615.28,0.93
647.4400000000002,0.9400000000000001
672.0000000000003,0.9500000000000001
733.4799999999993,0.96
980.7199999999993,0.97
1039.8000000000002,0.98
1400.360000000001,0.99
1951,1
