price_change_quantile,quantiles
-893,0
-440.86,0.01
-241.67999999999998,0.02
-204.36,0.03
-160.24,0.04
-136.3,0.05
-119.36,0.06
-111.93999999999997,0.07
-97.47999999999999,0.08
-85.08,0.09
-76,0.1
-73.66,0.11
-64.72,0.12
-54,0.13
-53,0.14
-53,0.15
-43,0.16
-42.019999999999996,0.17
-42,0.18
-42,0.19
-33,0.2
-32,0.21
-32,0.22
-32,0.23
-32,0.24
-31,0.25
-22,0.26
-22,0.27
-22,0.28
-22,0.29
-21,0.3
-21,0.31
-21,0.32
-21,0.33
-21,0.34
-11.099999999999966,0.35000000000000003
-11,0.36
-11,0.37
-11,0.38
-11,0.39
-11,0.4
-11,0.41000000000000003
-11,0.42
-11,0.43
-11,0.44
-11,0.45
-11,0.46
-11,0.47000000000000003
-10,0.48
-10,0.49
-10,0.5
-10,0.51
0,0.52
0,0.53
0,0.54
0,0.55
0,0.56
0,0.5700000000000001
0,0.58
0,0.59
0,0.6
0,0.61
0,0.62
0,0.63
0,0.64
0,0.65
0,0.66
0,0.67
0,0.68
10,0.6900000000000001
10,0.7000000000000001
11,0.71
11,0.72
11,0.73
11,0.74
11,0.75
21,0.76
21,0.77
22,0.78
22,0.79
22,0.8
23.279999999999973,0.81
32,0.8200000000000001
33,0.8300000000000001
41.95999999999992,0.84
52.099999999999795,0.85
54,0.86
63.77999999999997,0.87
71.32000000000016,0.88
84,0.89
95.60000000000002,0.9
105.62000000000023,0.91
112.88000000000011,0.92
132.78000000000065,0.93
165.44000000000005,0.9400000000000001
187.40000000000055,0.9500000000000001
217.96000000000004,0.96
262.53999999999985,0.97
326.48,0.98
387.03999999999814,0.99
726,1
