Time	Day	Hour	PJMDALMP	PJMRT 
1	01/01/2005	1	25.72	18.91
2	01/01/2005	2	23.08	14.27
3	01/01/2005	3	21	9.67
4	01/01/2005	4	20	17.68
5	01/01/2005	5	20.04	11.88
6	01/01/2005	6	20.79	2.08
7	01/01/2005	7	22.03	0
8	01/01/2005	8	24.22	18
9	01/01/2005	9	27.56	14.48
10	01/01/2005	10	28.56	17.88
11	01/01/2005	11	29.09	24.64
12	01/01/2005	12	28.01	19.57
13	01/01/2005	13	28	20.26
14	01/01/2005	14	25.71	22.21
15	01/01/2005	15	25.45	18.52
16	01/01/2005	16	25.75	18.78
17	01/01/2005	17	28.16	23.09
18	01/01/2005	18	38.1	30.69
19	01/01/2005	19	36	22.88
20	01/01/2005	20	34.68	24.6
21	01/01/2005	21	32.72	25.52
22	01/01/2005	22	30.91	30.35
23	01/01/2005	23	27.5	20.89
24	01/01/2005	0	26.48	20.03
25	01/02/2005	1	25.04	16.87
26	01/02/2005	2	21.94	13.88
27	01/02/2005	3	20.32	3.54
28	01/02/2005	4	19.45	13.87
29	01/02/2005	5	19.8	20.04
30	01/02/2005	6	20	18.76
31	01/02/2005	7	20.97	27.78
32	01/02/2005	8	25.78	24.54
33	01/02/2005	9	27.7	22.41
34	01/02/2005	10	29.29	37.37
35	01/02/2005	11	29.37	29.09
36	01/02/2005	12	29.5	35.36
37	01/02/2005	13	29.77	32.08
38	01/02/2005	14	29.74	35.98
39	01/02/2005	15	29.18	36.27
40	01/02/2005	16	28.68	28.28
41	01/02/2005	17	31.45	37.11
42	01/02/2005	18	46.86	50.31
43	01/02/2005	19	45	44.27
44	01/02/2005	20	43.63	42.9
45	01/02/2005	21	40.79	35.14
46	01/02/2005	22	33.35	30.74
47	01/02/2005	23	28.81	22.49
48	01/02/2005	0	26.93	24.17
49	01/03/2005	1	22.35	25.37
50	01/03/2005	2	20.29	9.9
51	01/03/2005	3	20.15	21.28
52	01/03/2005	4	19.93	14.81
53	01/03/2005	5	21.53	24.26
54	01/03/2005	6	24.87	28.25
55	01/03/2005	7	30.67	54.01
56	01/03/2005	8	34.8	48.38
57	01/03/2005	9	30.66	27.1
58	01/03/2005	10	32.86	46.16
59	01/03/2005	11	33.68	37.51
60	01/03/2005	12	33.38	38.71
61	01/03/2005	13	31.88	51.3
62	01/03/2005	14	30.29	26.13
63	01/03/2005	15	29.25	22.97
64	01/03/2005	16	29.02	25.55
65	01/03/2005	17	31.52	33.55
66	01/03/2005	18	45.5	37.53
67	01/03/2005	19	46.18	47.79
68	01/03/2005	20	43.49	33.18
69	01/03/2005	21	39.14	30.92
70	01/03/2005	22	34.11	26.14
71	01/03/2005	23	28.36	22.78
72	01/03/2005	0	26.5	25.99
73	01/04/2005	1	24.01	16.51
74	01/04/2005	2	22.44	15.52
75	01/04/2005	3	21.57	10.92
76	01/04/2005	4	21.1	13.47
77	01/04/2005	5	22.49	18.37
78	01/04/2005	6	26.54	19.24
79	01/04/2005	7	36.09	25.55
80	01/04/2005	8	34.8	25.85
81	01/04/2005	9	30.49	24.65
82	01/04/2005	10	32.01	24.44
83	01/04/2005	11	33.69	27.18
84	01/04/2005	12	32.32	28.09
85	01/04/2005	13	30.76	27.15
86	01/04/2005	14	30.41	26.58
87	01/04/2005	15	30	30.15
88	01/04/2005	16	29.5	29.95
89	01/04/2005	17	31.85	32.86
90	01/04/2005	18	46.95	90
91	01/04/2005	19	48.22	35.6
